Start Time (s),End Time (s),Duration (s)
14.160,14.850,0.690
16.500,17.130,0.630
24.300,24.990,0.690
27.360,28.020,0.660
49.560,50.220,0.660
52.920,53.610,0.690
55.410,56.070,0.660
56.490,57.210,0.720
57.360,57.990,0.630
58.320,58.950,0.630
66.570,67.200,0.630
74.070,74.670,0.600
74.730,75.750,1.020
93.030,94.290,1.260
132.780,133.770,0.990
134.130,134.940,0.810
135.930,137.130,1.200
197.700,198.300,0.600
275.310,276.150,0.840
284.040,285.300,1.260
285.840,287.010,1.170
287.040,288.030,0.990
291.330,291.930,0.600
323.910,324.540,0.630
333.930,335.310,1.380
430.620,433.800,3.180
434.610,435.630,1.020
446.640,447.240,0.600
448.290,449.910,1.620
459.360,460.440,1.080
462.600,463.590,0.990
465.150,465.930,0.780
466.740,467.520,0.780
477.330,478.560,1.230
481.200,481.800,0.600
481.860,482.550,0.690
556.410,560.280,3.870
603.330,604.920,1.590
609.510,611.460,1.950
612.660,613.740,1.080
618.060,618.660,0.600
657.900,659.700,1.800
661.470,662.310,0.840
672.750,673.440,0.690
687.660,688.260,0.600
706.590,708.930,2.340
