Start Time (s),End Time (s),Duration (s)
10.358,16.653,6.294
17.851,19.775,1.924
22.053,30.862,8.809
32.465,44.632,12.167
46.387,47.045,0.658
49.913,51.955,2.042
67.447,70.518,3.071
71.446,73.741,2.295
78.550,78.837,0.287
302.532,303.578,1.046
538.141,539.609,1.468
605.692,605.863,0.171
