Start Time (s),End Time (s),Duration (s)
8.640,10.170,1.530
15.690,16.380,0.690
22.830,23.910,1.080
25.020,25.710,0.690
45.330,46.320,0.990
66.120,67.020,0.900
68.070,68.700,0.630
69.840,70.830,0.990
71.370,72.330,0.960
73.350,74.250,0.900
109.260,109.860,0.600
117.900,119.100,1.200
119.910,121.260,1.350
121.920,122.940,1.020
123.030,124.830,1.800
126.630,127.290,0.660
128.310,129.150,0.840
130.530,131.370,0.840
132.870,133.620,0.750
138.720,139.410,0.690
144.570,145.500,0.930
146.910,147.870,0.960
155.070,155.970,0.900
159.690,160.350,0.660
194.160,195.060,0.900
197.550,198.210,0.660
227.130,227.760,0.630
230.940,231.750,0.810
232.950,233.850,0.900
249.540,250.140,0.600
252.000,253.140,1.140
253.590,254.760,1.170
255.090,256.140,1.050
266.130,266.880,0.750
268.230,269.130,0.900
270.090,270.900,0.810
271.890,272.610,0.720
292.260,292.920,0.660
302.940,303.810,0.870
306.420,307.290,0.870
311.550,312.150,0.600
363.600,364.290,0.690
370.830,371.670,0.840
372.540,373.500,0.960
377.550,378.390,0.840
462.090,473.520,11.430
493.440,494.310,0.870
592.140,592.740,0.600
593.040,593.640,0.600
