Start Time (s),End Time (s),Duration (s)
8.880,14.250,5.370
15.270,16.920,1.650
17.940,19.920,1.980
22.110,26.160,4.050
28.140,31.230,3.090
32.520,36.570,4.050
38.190,39.570,1.380
39.900,41.010,1.110
41.760,43.320,1.560
44.040,44.850,0.810
46.440,47.250,0.810
50.610,52.200,1.590
67.500,70.830,3.330
71.520,74.100,2.580
234.120,234.720,0.600
236.430,237.090,0.660
238.890,239.520,0.630
241.500,242.130,0.630
246.060,246.660,0.600
248.250,250.020,1.770
253.140,253.800,0.660
257.610,258.270,0.660
262.770,263.400,0.630
302.640,303.840,1.200
351.930,355.710,3.780
493.620,497.430,3.810
527.340,528.090,0.750
528.420,529.230,0.810
529.560,530.310,0.750
530.610,531.420,0.810
531.810,532.650,0.840
532.830,533.670,0.840
533.970,534.690,0.720
538.530,540.570,2.040
550.410,551.460,1.050
552.330,553.890,1.560
555.840,557.280,1.440
