Start Time (s),End Time (s),Duration (s)
4.380,5.610,1.230
10.230,11.550,1.320
16.230,17.730,1.500
21.450,22.740,1.290
25.140,26.580,1.440
30.510,31.800,1.290
37.080,38.370,1.290
41.670,42.990,1.320
47.190,48.660,1.470
52.560,53.850,1.290
57.030,60.330,3.300
61.920,63.240,1.320
65.640,66.330,0.690
69.900,71.400,1.500
76.110,77.220,1.110
81.930,83.100,1.170
86.040,87.420,1.380
90.750,92.070,1.320
96.990,98.880,1.890
108.030,108.630,0.600
138.030,139.530,1.500
168.870,169.560,0.690
170.100,170.820,0.720
171.600,172.260,0.660
173.820,176.400,2.580
176.520,177.840,1.320
177.930,179.220,1.290
179.310,180.570,1.260
180.810,182.070,1.260
182.280,183.600,1.320
183.630,194.880,11.250
195.210,196.440,1.230
196.620,197.850,1.230
197.880,199.350,1.470
238.680,239.790,1.110
263.130,263.850,0.720
264.840,265.500,0.660
266.040,268.110,2.070
268.110,269.070,0.960
285.240,286.860,1.620
287.280,287.880,0.600
351.810,353.130,1.320
385.110,385.800,0.690
396.510,397.110,0.600
423.180,423.780,0.600
424.800,425.550,0.750
425.940,426.570,0.630
427.620,428.430,0.810
428.610,430.290,1.680
431.160,432.480,1.320
433.110,436.080,2.970
436.260,438.450,2.190
438.840,440.730,1.890
441.150,444.360,3.210
498.900,499.590,0.690
508.560,509.250,0.690
