Start Time (s),End Time (s),Duration (s)
3.000,26.000,23.000
46.000,49.000,3.000
50.000,59.000,9.000
60.000,62.000,2.000
64.000,68.000,4.000
91.000,98.000,7.000
130.000,142.000,12.000
192.000,193.000,1.000
194.000,197.000,3.000
201.000,202.000,1.000
209.000,213.000,4.000
244.000,252.000,8.000
253.000,258.000,5.000
272.000,278.000,6.000
282.000,295.000,13.000
315.000,316.000,1.000
319.000,320.000,1.000
419.000,420.000,1.000
428.000,442.000,14.000
444.000,456.000,12.000
457.000,467.000,10.000
475.000,483.000,8.000
552.000,555.000,3.000
572.000,573.000,1.000
588.000,591.000,3.000
607.000,622.000,15.000
632.000,635.000,3.000
656.000,664.000,8.000
666.000,669.000,3.000
704.000,708.000,4.000
