Start Time (s),End Time (s),Duration (s)
5.060,6.207,1.148
7.793,12.603,4.809
13.835,19.623,5.788
20.804,26.660,5.856
48.226,53.542,5.316
55.128,59.532,4.404
61.304,63.937,2.633
66.232,68.864,2.633
92.793,97.923,5.130
131.521,136.567,5.046
138.203,142.557,4.354
143.705,144.278,0.574
172.223,179.176,6.952
193.334,198.076,4.742
202.058,205.940,3.881
208.015,208.994,0.979
211.238,213.922,2.683
220.216,220.604,0.388
246.237,252.903,6.666
254.371,259.079,4.708
274.570,278.603,4.033
283.632,287.918,4.286
289.792,295.445,5.653
296.305,297.132,0.827
420.657,421.501,0.844
430.394,437.718,7.324
439.456,441.987,2.531
445.649,452.298,6.649
452.703,456.112,3.409
459.250,463.402,4.151
464.785,465.798,1.012
466.034,467.215,1.181
477.020,478.825,1.806
480.580,483.736,3.156
540.115,540.537,0.422
589.930,590.234,0.304
609.455,611.176,1.721
612.340,613.437,1.097
615.192,619.985,4.793
622.010,624.659,2.649
657.751,665.395,7.644
667.015,669.597,2.582
706.317,710.536,4.219
