Start Time (s),End Time (s),Duration (s)
3.000,12.000,9.000
121.000,124.000,3.000
161.000,166.000,5.000
262.000,268.000,6.000
308.000,310.000,2.000
315.000,317.000,2.000
488.000,490.000,2.000
491.000,493.000,2.000
513.000,515.000,2.000
