Start Time (s),End Time (s),Duration (s)
0.000,45.000,45.000
46.000,52.000,6.000
165.000,169.000,4.000
178.000,183.000,5.000
236.000,241.000,5.000
254.000,262.000,8.000
263.000,265.000,2.000
268.000,282.000,14.000
492.000,495.000,3.000
522.000,533.000,11.000
598.000,599.000,1.000
