Start Time (s),End Time (s),Duration (s)
1.110,3.120,2.010
3.120,4.650,1.530
5.190,7.290,2.100
7.350,9.660,2.310
10.290,13.440,3.150
13.530,20.640,7.110
20.910,23.400,2.490
24.480,27.150,2.670
27.420,29.070,1.650
29.190,30.690,1.500
30.720,32.250,1.530
32.730,35.640,2.910
36.030,37.440,1.410
38.190,38.820,0.630
39.360,41.250,1.890
42.030,43.200,1.170
43.350,45.360,2.010
48.210,49.290,1.080
50.700,52.920,2.220
55.890,56.910,1.020
75.270,77.220,1.950
120.930,124.530,3.600
124.620,125.880,1.260
126.120,140.910,14.790
141.270,142.440,1.170
142.770,143.940,1.170
149.160,149.760,0.600
152.400,153.270,0.870
156.120,159.030,2.910
163.620,169.110,5.490
172.770,174.240,1.470
180.210,181.650,1.440
182.100,183.570,1.470
238.320,239.790,1.470
239.940,241.320,1.380
256.740,259.260,2.520
259.710,261.900,2.190
262.020,262.890,0.870
265.380,266.190,0.810
270.120,272.070,1.950
272.430,274.620,2.190
275.250,276.690,1.440
277.080,277.920,0.840
278.580,280.560,1.980
281.670,282.510,0.840
306.480,308.010,1.530
336.930,337.680,0.750
343.770,344.430,0.660
356.520,358.050,1.530
358.680,360.510,1.830
363.270,363.930,0.660
365.430,368.160,2.730
372.750,381.870,9.120
381.900,382.710,0.810
385.620,386.820,1.200
398.820,399.570,0.750
408.300,409.080,0.780
413.760,414.510,0.750
420.600,421.350,0.750
426.600,427.800,1.200
455.880,456.480,0.600
474.750,475.350,0.600
481.650,482.250,0.600
486.060,486.690,0.630
494.340,495.630,1.290
496.470,497.070,0.600
501.150,515.040,13.890
524.700,525.390,0.690
526.080,527.310,1.230
527.850,530.160,2.310
530.430,531.030,0.600
531.810,533.220,1.410
583.560,585.210,1.650
585.900,586.500,0.600
601.080,602.580,1.500
