Start Time (s),End Time (s),Duration (s)
5.130,7.590,2.460
9.690,12.360,2.670
38.640,39.630,0.990
93.060,94.980,1.920
101.100,101.760,0.660
101.790,102.840,1.050
103.050,106.470,3.420
106.770,107.370,0.600
108.660,109.260,0.600
109.590,110.190,0.600
121.260,122.310,1.050
123.240,124.800,1.560
163.410,166.500,3.090
262.650,263.730,1.080
264.300,267.000,2.700
267.300,268.620,1.320
270.450,272.880,2.430
307.830,309.570,1.740
310.170,311.250,1.080
316.800,318.390,1.590
320.790,321.960,1.170
340.200,341.550,1.350
410.400,411.390,0.990
420.330,421.620,1.290
487.680,488.610,0.930
489.480,491.550,2.070
491.940,494.250,2.310
495.120,496.380,1.260
514.980,516.840,1.860
552.210,553.260,1.050
560.550,561.780,1.230
561.870,562.620,0.750
570.210,571.710,1.500
